Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
18,8.5,11.5,0.5,0.5,-,-,12.0,-,7.0,1.5,9.0,8.0
19,17.5,45.5,0.5,-,-,-,4.0,-,8.5,0.5,60.5,33.0
20,16.5,16.5,-,-,-,-,-,-,2.5,22.5,5.5,17.0
21,15.0,2.0,4.0,-,-,1.0,-,T,-,32.0,0.5,39.5
22,2.0,-,12.0,27.0,2.0,-,-,-,0.5,T,-,53.5
23,18.0,-,4.5,4.5,10.0,-,-,-,0.5,T,30.0,27.5
24,13.0,1.0,7.5,-,3.5,43.0,-,T,0.5,1.0,-,1.5
25,8.0,1.5,10.5,-,0.5,277.5,11.0,1.0,0.5,54.5,-,-
26,33.0,0.5,25.5,-,3.0,36.5,-,46.0,49.0,7.5,-,6.0
27,34.0,-,67.5,-,49.0,14.0,-,3.0,18.0,12.0,T,27.0
28,34.0,-,10.5,-,148.5,60.5,-,30.0,-,1.0,17.0,-
29,33.0,,-,T,-,6.5,-,34.5,-,-,26.5,14.5
30,10.0,,-,T,-,-,-,9.0,74.0,1.5,28.0,42.5
31,4.5,,-,,-,,-,-,,15.5,,8.0
總和值,538.5,185.5,213.5,88.0,491.0,469.0,140.5,172.0,180.0,885.5,787.0,728.5
1,2.0,14.5,-,-,-,8.0,-,223.0,-,-,1.0,51.5
2,-,31.5,-,-,95.0,14.5,-,456.0,-,-,-,55.5
3,5.5,29.5,-,T,T,49.0,-,12.0,-,-,-,5.0
4,16.5,2.5,-,-,37.5,35.0,-,-,-,-,-,2.0
5,29.0,-,0.5,29.0,-,4.5,-,T,-,16.0,0.5,53.5
6,52.0,-,-,7.5,-,-,0.5,42.5,-,2.0,-,T
7,41.0,37.5,5.0,0.5,-,-,-,7.5,-,2.0,-,0.5
8,23.0,20.0,12.0,0.5,-,-,-,T,-,-,-,56.5
9,18.5,12.0,23.5,27.0,14.5,-,-,2.5,-,9.0,-,33.0
10,3.5,1.5,6.5,1.0,21.5,-,-,-,-,6.0,2.0,2.5
11,4.5,7.0,9.0,4.5,10.5,108.5,-,1.0,-,3.0,25.0,32.5
