Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
20,6.1,7.6,-,-,-,-,-,-,-,5.1,11.3,8.0
21,3.5,0.2,1.3,-,T,2.2,1.5,T,-,-,0.2,T
22,0.5,-,1.9,5.1,0.4,-,-,-,1.0,0.5,3.0,11.4
23,2.2,-,-,T,0.2,-,-,-,0.1,-,31.8,0.5
24,0.3,T,1.4,-,8.7,25.4,-,-,-,-,-,-
25,11.6,1.6,5.0,-,0.5,36.8,-,-,T,1.4,0.2,-
26,23.8,-,4.0,-,27.8,0.3,-,45.0,1.0,0.3,1.7,12.1
27,4.5,-,42.3,-,151.1,-,-,29.0,11.6,6.4,3.9,35.0
28,0.5,-,8.7,-,3.9,1.4,-,111.8,4.2,6.2,0.5,-
29,0.2,,-,0.8,-,7.5,T,20.3,-,-,1.3,5.1
30,4.2,,-,0.1,-,-,-,T,2.2,-,15.0,8.0
31,2.6,,-,,0.3,,-,-,,1.8,,6.4
總和值,136.3,50.7,183.0,12.1,324.5,149.2,32.9,211.7,44.6,579.6,622.8,434.5
1,-,9.3,-,-,-,-,T,212.0,-,-,0.6,19.7
2,0.1,7.6,2.7,-,28.9,-,-,198.8,-,-,T,2.5
3,2.6,15.3,5.1,-,8.1,23.6,-,0.9,-,-,0.2,T
4,0.6,5.2,-,-,40.2,7.2,-,1.1,-,-,3.0,0.4
5,9.5,-,0.1,1.1,-,-,-,-,-,3.5,-,7.0
6,18.5,-,0.4,9.9,-,5.4,-,-,-,3.0,T,4.5
7,17.8,2.4,0.3,2.6,-,-,-,-,-,-,-,0.7
8,8.5,8.6,1.5,-,-,3.4,-,-,-,0.2,-,76.7
9,3.1,3.4,4.6,12.5,31.3,45.0,-,43.9,-,1.0,-,27.3
10,T,-,5.6,T,9.9,14.6,-,-,-,0.3,-,2.4
11,0.4,1.3,6.4,0.4,6.0,5.5,-,0.4,-,0.3,6.7,6.4
12,15.1,1.1,44.0,T,209.5,105.8,-,-,-,-,3.5,56.2
13,8.5,-,16.6,-,0.4,9.7,-,-,-,-,-,54.9
14,2.0,-,5.1,-,-,16.7,-,-,T,-,-,-
15,0.2,T,-,1.7,25.5,3.1,-,10.7,16.0,-,4.3,-
16,2.8,0.5,-,7.0,10.4,-,T,-,-,-,0.1,-
17,T,0.3,-,-,20.9,-,47.5,7.0,-,T,18.1,4.0
18,-,T,1.4,3.2,-,11.8,-,-,-,-,21.0,8.7
19,-,17.7,7.7,0.7,8.9,9.9,-,-,2.4,-,T,4.8
20,T,4.7,0.2,0.1,6.7,22.2,-,-,0.5,-,T,4.6
21,6.1,-,0.8,3.1,0.4,3.3,-,-,0.5,-,0.1,-
22,22.1,-,-,4.0,-,T,1.5,0.4,-,-,7.5,T
23,10.2,16.2,1.6,-,-,-,4.5,6.4,3.0,8.5,5.7,0.1
24,23.5,47.1,2.1,-,-,-,3.1,27.7,10.2,2.0,7.9,-
25,6.1,20.5,-,0.5,-,-,5.1,15.3,12.9,2.0,0.3,3.6
26,17.4,27.2,-,38.3,2.4,-,0.7,1.0,11.8,6.7,10.0,25.1
27,-,8.4,-,17.7,59.9,-,T,6.7,6.3,-,9.4,0.7
28,-,2.1,-,1.1,59.5,0.2,8.1,16.6,6.0,44.0,4.0,2.5
29,T,2.1,0.1,-,0.6,69.5,-,2.9,-,-,8.4,15.9
30,-,,-,3.3,57.7,-,19.6,2.4,-,27.6,19.0,5.8
31,-,,0.5,,0.5,,71.7,-,,30.0,,-
總和值,175.1,199.0,106.7,107.8,656.6,287.4,164.7,551.3,69.6,137.5,137.3,323.1
1,6.8,-,6.2,11.1,11.0,-,-,2.2,76.0,T,85.6,-
2,0.1,16.3,-,-,-,-,0.5,-,-,-,2.6,-
3,11.1,0.2,-,18.8,T,0.1,-,-,-,T,12.0,-
4,54.4,-,-,2.5,3.1,11.5,T,-,-,T,16.4,T
5,6.6,-,-,11.6,6.5,11.2,-,-,-,26.4,64.2,0.3
6,8.4,17.3,-,1.4,8.0,6.4,-,-,-,23.7,1.5,-
7,0.3,29.7,-,-,7.0,-,-,-,T,1.2,1.9,1.4
8,2.3,6.2,-,-,T,0.5,-,-,-,13.0,1.5,16.8
