Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
7,-,13.0,-,1.0,-,-,-,1.0,-,-,-,-
8,-,8.0,2.0,-,-,0.5,-,-,-,-,-,10.0
9,-,-,6.0,1.0,-,5.5,-,-,-,-,-,8.5
10,-,0.5,7.5,-,1.5,2.5,-,-,-,-,-,-
11,-,-,5.5,-,3.5,42.0,-,1.0,-,-,0.5,-
12,-,-,11.0,-,-,80.0,-,2.5,-,-,-,-
13,-,-,8.5,-,-,-,-,-,-,-,-,-
14,5.0,-,4.0,-,-,8.5,-,-,-,-,-,-
15,12.0,1.5,0.5,-,-,11.0,-,-,0.5,-,-,-
16,17.0,3.0,-,83.5,5.0,1.5,-,21.5,-,-,-,-
17,-,-,-,1.0,13.5,-,-,13.0,-,-,19.5,-
18,-,-,-,3.5,63.0,-,-,20.5,-,-,17.5,1.5
19,-,-,-,11.5,10.5,33.0,-,7.0,0.5,-,-,-
20,-,-,-,21.0,2.0,62.0,-,-,-,-,-,-
21,-,-,-,2.5,-,19.0,1.0,18.5,-,-,1.5,-
22,42.5,-,-,1.5,-,-,0.5,0.5,-,-,-,-
23,3.0,19.0,-,-,-,2.0,-,1.5,-,-,47.5,-
24,15.5,89.0,1.5,4.5,-,-,45.0,-,-,-,-,-
25,1.0,11.0,-,3.0,-,-,0.5,17.0,-,-,-,-
26,0.5,9.0,-,58.5,9.0,-,61.5,-,-,-,37.5,-
27,-,2.0,-,42.5,1.5,-,3.5,-,-,-,3.5,0.5
28,-,26.5,-,11.5,41.5,-,3.5,-,19.5,-,9.0,0.5
29,-,26.5,12.0,-,11.5,-,-,-,-,-,-,26.5
30,-,,-,22.0,-,2.5,-,2.5,-,3.0,37.5,20.0
31,-,,9.5,,5.5,,11.0,28.0,,9.5,,-
總和值,143.0,195.0,56.5,285.0,239.0,270.0,126.5,616.0,47.5,12.5,200.5,86.5
1,1,-,-,27.5,24.5,-,-,1.5,72.5,-,-,-
2,-,-,-,1.5,-,-,14.5,-,-,-,1,-
3,3.5,0.5,0.5,18.5,3.5,-,-,-,-,-,-,-
4,1,-,-,5.5,-,-,-,-,-,-,-,-
5,-,0.5,-,42,-,2.5,-,-,-,18,-,-
6,-,-,-,2.5,-,-,18.5,-,-,10,-,-
7,-,-,-,-,-,-,-,-,-,-,-,-
8,5.5,-,-,-,-,-,-,-,-,-,-,-
9,3,-,-,7,-,2.5,0.5,-,-,-,-,0.5
10,-,-,-,3,-,24,-,-,-,-,-,-
11,-,-,-,16,75.5,1,-,-,-,-,-,-
12,6.5,0.5,-,27,33.5,58,6,-,-,-,-,-
13,8,-,-,-,8,-,425.5,9,-,-,-,0.5
14,-,-,-,25,-,2.5,35,81,0.5,-,-,2.5
