Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
31,-,,-,,7.0,,-,111.5,,-,,-
總和值,12.4,18.5,5.0,40.3,127.4,339.4,443.2,1154.7,101.9,190.2,134.1,29.9
1,-,-,-,-,-,-,-,1.3,0.5,-,2.5,T
2,-,-,-,-,7.5,0.5,-,9.0,3.0,-,-,-
3,-,-,-,5.5,58.5,26.0,-,-,-,-,-,0.2
4,-,-,-,-,32.0,-,16.5,3.4,-,-,2.5,-
5,-,26.5,-,-,-,T,12.5,4.8,-,-,-,9.0
6,-,0.5,-,0.2,-,84.0,7.5,-,T,1.0,-,-
7,-,-,-,-,-,1.5,0.5,18.5,9.5,-,-,T
8,-,-,-,-,-,18.3,-,0.5,0.5,-,-,-
9,-,-,-,-,-,7.5,-,85.5,-,-,-,-
10,-,-,-,-,0.5,143.5,-,71.0,-,-,-,-
11,-,1.5,-,-,1.0,-,-,25.5,3.0,-,-,-
12,-,0.5,1.0,-,-,33.0,-,18.0,-,-,-,-
13,-,0.3,-,-,-,145.0,1.0,-,-,2.0,-,4.0
14,-,0.5,-,-,-,42.5,3.0,T,-,-,-,2.0
15,-,4.5,0.5,-,-,91.0,7.0,19.8,4.5,-,-,-
16,-,-,-,-,22.0,16.0,8.0,31.5,-,-,-,-
17,-,-,-,19.0,184.5,1.0,-,3.0,-,-,31.5,-
18,-,-,-,1.5,-,4.0,-,6.5,0.4,-,-,-
19,-,T,1.0,0.5,31.5,29.0,-,-,-,-,T,-
20,-,19.5,-,-,105.0,65.0,5.5,-,-,-,-,-
21,-,21.0,-,7.5,-,53.0,83.0,3.5,-,-,-,-
22,-,1.0,0.5,-,-,2.5,23.0,-,-,-,-,-
23,-,-,-,-,-,0.5,69.5,5.0,44.5,-,-,-
24,-,-,-,-,-,-,29.5,615.0,2.5,-,-,-
25,-,-,-,-,-,-,28.5,57.5,-,-,-,-
26,-,-,-,0.5,-,-,-,1.5,-,-,-,1.5
27,-,-,-,T,2.5,-,20.5,43.0,-,-,-,5.0
28,-,1.0,-,5.0,4.0,25.5,3.5,53.0,-,-,-,0.5
29,-,1.0,-,-,-,T,10.0,3.0,1.5,6.5,-,-
30,-,,-,-,-,3.5,0.5,-,-,0.5,-,3.0
31,-,,-,,-,,23.5,5.0,,1.5,,-
總和值,-,76.8,3.0,39.7,449.0,802.8,346.0,1083.3,74.9,5.0,36.5,25.2
1,-,0.5,-,-,78.0,-,4.0,36.0,4.0,2.0,4.5,-
2,-,2.5,0.5,-,0.5,-,0.5,24.5,-,1.5,42.5,-
3,-,6.5,-,-,0.5,-,-,-,-,T,2.5,-
4,-,-,-,-,-,-,T,-,-,-,-,-
5,-,-,-,-,0.5,-,1.0,-,-,-,-,-
6,-,-,-,76.0,1.0,-,-,0.5,-,-,0.5,-
7,-,-,-,-,-,-,-,-,-,-,1.0,-
8,-,-,-,-,-,-,-,-,-,-,-,-
9,-,-,-,-,-,-,2.5,-,-,9.5,3.0,-
10,-,-,-,-,-,0.5,-,1.5,-,-,-,-
11,-,3.0,-,-,-,-,-,0.5,10.5,-,-,-
12,1.5,-,-,-,10.0,12.0,-,17.0,18.5,7.5,-,-
13,24.0,-,-,-,32.5,59.0,-,89.0,10.5,2.5,-,-
14,0.5,-,-,-,-,28.5,79.5,19.0,0.5,-,-,0.5
15,-,-,-,-,-,6.0,-,26.0,-,1.0,-,-
16,-,-,-,-,21.0,-,T,0.5,2.5,-,-,33.5
17,-,-,T,-,64.0,-,47.0,-,0.5,2.5,-,74.0
18,-,-,-,-,17.0,-,28.5,0.5,5.5,-,-,9.0
19,-,0.5,-,-,10.0,-,24.0,-,0.5,1.0,-,0.5
20,2.6,-,-,-,8.0,-,1.5,0.5,11.5,-,-,-
21,2.5,-,-,T,29.0,3.5,1.5,8.0,298.5,-,-,-
22,1.0,-,-,-,13.5,51.0,-,2.5,85.5,-,-,-
23,-,-,-,-,2.0,11.0,2.0,83.0,0.5,0.5,-,-
24,0.5,0.5,-,-,-,8.5,1.5,4.5,-,-,-,0.5
25,-,-,-,-,-,0.5,1.5,-,-,-,5.0,-
26,-,-,-,0.5,-,3.0,26.0,-,-,-,-,1.0
27,-,-,3.0,3.0,-,-,-,2.0,-,-,-,0.5
28,-,-,-,-,-,-,-,32.0,-,-,-,-
29,-,,-,-,-,-,5.5,144.0,T,-,-,-
30,4.5,,-,-,T,-,2.5,14.0,1.5,-,-,-
31,-,,-,,-,,10.0,92.0,,-,,-
總和值,37.1,13.5,3.5,79.5,287.5,183.5,239.0,597.5,450.5,28.0,59.0,119.5
1,-,-,-,9.0,T,-,-,16.5,-,-,-,-
2,-,-,-,T,-,-,-,-,T,-,-,-
3,-,0.5,-,-,-,9.5,-,T,-,0.5,-,0.5
4,-,-,-,-,-,8.0,0.5,2.0,-,-,-,1.0
5,-,-,-,-,1.5,-,3.0,-,T,-,-,1.0
6,-,0.5,-,-,-,2.5,1.5,-,1.0,-,-,-
7,-,-,-,1.5,-,24.5,9.5,8.0,-,-,-,-
8,-,-,-,1.0,-,121.5,-,80.5,3.5,-,-,-
9,-,-,-,-,4.0,57.5,3.0,40.0,-,-,-,-
10,0.5,-,-,-,1.0,-,T,41.5,-,-,-,-
11,T,-,-,-,-,13.0,-,41.5,5.5,-,-,-
12,-,-,-,-,2.0,0.5,-,62.5,-,1.5,-,-
13,0.5,T,-,-,-,3.0,-,52.5,-,-,-,-
14,-,1.5,-,T,-,56.5,-,33.0,T,-,-,-
15,-,-,-,-,-,10.0,-,-,15.0,-,5.5,-
16,-,-,-,-,-,-,-,7.0,T,-,T,-
17,-,-,-,-,-,-,9.5,6.0,-,-,-,-
18,-,-,-,-,-,-,0.5,33.0,-,-,-,-
19,-,5.5,-,-,2.5,-,-,1.5,7.0,-,-,0.5
20,-,2.5,-,-,3.0,-,T,-,73.5,-,T,-
21,-,-,-,-,3.0,0.5,T,-,260.0,-,T,-
22,-,-,-,-,-,T,21.5,-,45.0,34.0,-,-
23,-,-,-,-,-,T,45.0,-,8.0,-,-,-
24,-,-,-,-,-,3.0,14.5,-,-,-,-,-
25,-,-,-,-,-,3.0,14.5,-,-,-,-,2.0
26,-,0.5,24.0,0.5,-,T,-,-,-,6.0,-,4.0
27,-,0.5,-,-,6.0,-,-,0.5,9.0,5.0,0.5,-
28,-,1.0,-,-,17.5,9.0,-,-,-,-,-,-
29,-,,-,-,-,1.0,-,-,-,-,-,-
30,-,,-,-,-,-,-,-,-,-,-,-
31,-,,37.0,,-,,-,0.5,,-,,-
