Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
27,-,-,19.5,-,T,15.5,-,0.5,-,-,-,-
28,-,-,9.0,-,-,27.5,-,7.0,1.5,-,-,-
29,T,,-,T,-,2.0,18.0,1.5,2.5,-,-,-
30,0.5,,-,-,-,-,35.0,6.0,1.0,-,-,1.0
31,-,,-,,1.5,,2.0,11.0,,-,,12.0
總和值,58.0,22.2,46.3,23.5,351.3,217.0,412.5,241.0,73.5,56.0,177.0,47.0
1,-,-,-,1.0,-,-,0.5,11.5,21.5,-,-,5.5
2,1.5,-,-,-,21.5,-,0.2,482.5,1.0,-,-,1.0
3,-,1.0,-,3.0,83.5,-,-,7.5,24.0,-,-,1.0
4,-,-,-,-,48.5,0.5,-,-,1.5,-,-,-
5,6.0,-,-,-,-,-,20.5,-,-,-,T,26.0
6,7.0,-,-,34.5,-,-,2.0,-,-,-,-,4.0
7,-,7.0,-,2.0,-,0.5,4.0,31.5,23.0,-,-,3.0
8,-,18.0,-,0.5,-,66.0,-,4.5,47.5,-,-,10.5
9,-,-,3.0,0.2,17.5,9.5,-,-,-,-,-,18.5
10,-,-,1.0,0.2,26.5,177.0,-,T,-,-,-,-
11,-,-,14.0,-,24.0,115.5,-,0.5,T,-,-,-
12,-,-,11.0,-,18.5,245.0,-,13.5,-,-,-,-
13,1.0,-,1.0,-,-,17.5,8.0,-,-,-,-,-
14,-,-,-,-,-,20.5,2.0,-,-,-,-,-
15,-,-,-,-,3.0,5.5,2.5,-,-,-,-,-
16,34.5,T,-,4.0,12.5,38.0,2.0,12.0,-,-,-,-
17,-,-,0.5,7.5,13.5,50.5,1.5,13.5,-,-,40.5,-
18,T,-,-,38.0,32.5,19.0,-,-,-,-,18.5,1.0
19,-,-,-,0.5,8.5,28.5,8.0,19.0,-,-,-,-
20,-,-,-,62.0,31.0,50.5,-,2.0,-,-,-,-
21,-,7.0,-,29.0,-,11.0,8.0,14.0,-,-,6.0,-
22,1.5,0.5,-,14.0,-,7.0,10.0,-,-,-,10.0,-
23,6.5,0.5,-,2.0,-,8.5,0.5,T,-,-,32.0,0.5
24,14.5,10.5,3.0,1.5,-,-,20.0,1.5,0.5,-,3.6,-
25,2.5,12.0,1.0,8.5,-,8.0,22.5,2.0,-,-,-,-
26,2.5,1.5,-,33.0,3.0,18.5,13.0,T,-,-,2.5,-
27,-,5.5,-,24.0,12.0,2.5,-,-,-,-,7.5,-
28,-,24.0,-,4.5,165.5,-,T,14.5,-,-,1.0,-
29,-,24.0,-,-,12.0,6.5,-,-,0.5,-,6.0,16.5
30,-,,-,16.0,21.5,2.5,2.0,-,-,0.5,10.2,23.0
31,-,,-,,-,,9.0,5.0,,1.5,,1.0
