Date,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
17,3.3,10.5,0.2,7.1,59.0,2.6,-,-,-,-,62.2,2.0
18,3.0,34.0,-,61.2,12.5,-,49.5,-,-,-,11.0,1.1
19,13.1,18.0,1.7,-,3.0,-,-,-,0.6,-,6.1,3.7
20,17.9,9.0,0.7,-,16.5,51.2,-,-,-,-,2.0,15.5
21,15.5,11.0,-,-,3.5,12.7,-,2.5,0.7,-,-,5.8
22,-,11.8,17.5,6.3,-,4.4,-,2.5,0.5,-,-,16.0
23,0.5,-,1.5,1.7,-,-,-,-,0.2,1.0,18.8,9.5
24,2.0,-,1.0,-,80.5,2.0,-,-,7.5,9.9,3.6,2.0
25,10.0,-,-,-,43.0,-,-,0.4,31.5,25.0,-,-
26,28.5,-,2.0,-,9.0,-,-,1.0,1.2,2.6,0.9,1.4
27,17.0,-,2.0,-,46.5,44.5,20.1,79.8,30.0,-,5.0,0.2
28,15.5,2.5,7.0,-,4.0,2.8,13.2,96.6,36.0,17.2,-,0.2
29,16.5,,-,-,1.0,4.3,3.1,78.7,3.0,5.0,-,3.8
30,1.5,,-,-,2.5,-,-,75.8,1.0,-,12.3,46.4
31,2.5,,-,,11.5,,-,42.7,,-,,12.3
總和值,396.7,124.3,104.7,106.1,360.1,251.1,248.1,384.8,230.6,435.4,585.3,378.5
1,42.2,11.5,0.5,1.5,-,2.4,1.5,54.0,-,-,21.6,0.7
2,5.5,22.5,-,4.0,-,T,-,-,11.0,-,16.5,4.0
3,1.3,9.5,-,-,54.3,6.0,-,-,-,-,60.9,12.5
4,4.5,3.0,-,-,0.8,37.0,11.5,-,-,-,31.2,3.5
5,10.2,2.5,-,-,1.0,0.5,3.0,-,2.4,-,-,49.3
6,13.5,-,-,2.5,-,4.5,5.5,-,17.2,2.9,0.2,0.5
7,0.8,11.0,-,-,-,6.5,-,-,-,4.6,-,1.5
8,-,4.5,-,-,-,0.5,-,1.5,1.0,0.5,-,32.0
9,-,1.5,11.7,1.0,-,-,-,7.0,-,-,-,14.0
10,-,-,-,2.0,18.6,91.0,-,3.0,-,2.5,-,-
11,-,16.0,-,-,36.6,-,-,2.5,1.7,-,8.9,4.0
12,0.7,0.5,4.5,-,57.7,12.0,-,1.5,1.7,-,11.3,13.0
13,11.3,5.5,0.4,-,-,106.2,-,-,-,-,-,4.0
14,0.4,1.5,-,-,-,2.7,-,2.5,0.2,-,38.5,-
15,-,25.5,14.0,-,0.4,5.9,-,22.5,0.7,-,-,-
16,6.2,27.5,-,8.0,1.5,7.1,-,7.0,1.8,-,-,-
17,0.5,6.0,-,9.5,41.9,25.2,-,5.0,24.2,-,97.6,3.5
18,-,1.0,-,-,0.6,2.6,-,15.5,-,-,22.6,43.5
19,2.5,2.5,-,-,6.1,31.0,-,0.5,1.7,-,2.8,0.5
20,-,10.0,-,-,68.5,13.6,24.9,0.5,2.0,-,6.0,5.0
21,8.9,75.5,14.1,0.3,20.0,35.0,16.2,-,2.1,-,2.5,2.2
22,24.8,30.0,-,-,8.0,23.6,6.7,-,2.7,0.5,-,22.7
23,12.5,-,-,-,-,3.8,54.3,100.5,2.1,-,-,10.7
24,9.3,-,10.9,-,-,-,23.7,84.5,1.9,-,15.8,1.4
25,10.1,2.9,-,-,-,-,62.4,16.0,3.7,-,8.0,11.3
26,14.9,11.0,-,34.5,2.5,-,0.2,1.0,1.0,10.0,0.3,12.3
27,1.0,5.0,-,7.0,16.0,-,0.7,4.5,2.1,-,16.5,1.3
28,0.7,2.0,-,6.6,11.5,16.5,12.5,56.3,35.3,-,3.0,2.6
29,1.5,2.0,15.5,-,0.3,81.0,20.0,4.5,-,0.3,1.0,-
30,1.0,,-,-,70.5,7.5,51.5,8.5,-,33.0,7.0,63.9
31,0.5,,4.0,,3.5,,91.5,3.5,,24.9,,4.4
總和值,184.8,303.9,60.1,77.2,501.0,461.1,370.6,397.8,116.8,79.9,371.2,329.6
1,5.8,43.5,-,7.5,60.4,-,3.2,78.4,0.6,3.0,19.5,-
2,27.5,140.0,4.1,2.0,-,-,2.0,24.5,46.5,4.5,16.0,-
3,62.6,14.5,-,9.0,7.4,-,1.0,4.5,112.0,-,23.1,-
4,7.1,-,-,3.5,1.4,0.5,0.5,-,0.2,-,14.5,-
5,31.4,-,-,-,0.5,2.5,-,-,-,1.0,33.5,T
6,8.2,-,-,66.5,-,-,-,0.3,-,-,6.0,16.4
7,27.6,0.4,-,9.5,-,3.0,0.4,-,-,2.8,0.5,22.5
8,66.1,8.0,-,-,-,-,-,-,-,-,1.0,28.1
9,26.1,4.9,-,1.0,1.0,-,7.6,-,-,-,52.5,43.5
10,7.0,7.8,-,4.0,7.5,-,-,8.5,1.7,1.5,-,5.0
11,5.6,-,-,9.5,-,-,-,10.5,1.0,-,20.5,8.5
12,34.4,11.8,5.3,8.5,4.4,10.1,1.0,41.7,63.5,0.5,7.0,4.2
13,47.8,20.0,0.6,1.0,2.6,25.6,-,60.5,6.1,1.8,9.0,66.5
14,-,26.9,2.0,-,-,13.4,9.0,52.1,9.0,3.0,1.0,111.0
15,-,1.5,-,-,T,4.4,12.4,18.5,3.0,17.3,-,160.5
16,-,0.5,-,-,0.5,4.0,1.0,46.5,2.0,-,-,29.0
17,5.5,-,0.4,-,0.5,-,37.5,-,0.4,0.3,-,48.0
18,-,-,-,-,0.5,-,138.5,-,11.5,0.6,-,31.5
19,-,1.7,-,-,-,-,54.2,-,13.0,2.1,-,32.5
20,3.0,1.2,-,-,0.2,-,4.5,9.5,13.4,-,-,12.5
21,-,-,0.5,2.9,1.5,-,1.0,2.5,103.6,5.4,2.0,6.5
22,-,-,-,1.5,5.5,3.6,22.0,2.4,1.5,0.5,0.4,8.1
23,11.5,-,0.8,-,6.0,0.9,T,11.5,16.4,0.3,-,19.0
24,13.5,-,-,-,-,0.2,-,0.3,1.0,-,2.5,16.2
25,13.5,-,15.0,1.5,23.0,0.6,7.0,-,6.7,-,3.5,10.0
26,-,-,0.5,6.5,-,-,-,-,1.5,-,-,11.3
27,26.0,-,2.0,12.6,-,-,-,0.5,8.0,-,-,14.5
28,-,-,-,18.0,-,-,T,67.0,1.5,-,2.0,-
29,-,,-,-,-,-,-,23.0,-,-,-,0.5
30,-,,-,-,-,-,1.5,28.8,7.5,0.3,-,9.5
31,0.4,,2.0,,-,,9.0,4.0,,-,,-
總和值,430.6,282.7,33.2,165.0,122.9,68.8,313.3,495.5,431.6,44.9,214.5,715.3
1,-,1.5,-,6.4,3.6,3.5,-,-,-,22.0,-,10.3
2,9.0,9.8,1.5,3.0,215.0,-,-,-,-,0.1,0.8,17.4
3,1.5,2.5,1.5,-,151.4,-,-,-,-,-,1.3,9.2
4,-,18.3,-,8.5,2.0,1.0,-,0.5,-,-,2.5,12.0
5,-,7.1,4.5,-,2.0,-,23.0,10.5,5.1,-,0.1,1.2
6,-,0.4,6.0,-,4.0,0.5,18.5,3.5,0.1,-,-,-
7,-,-,3.5,0.7,-,3.0,-,-,-,-,1.0,-
8,-,49.3,-,25.0,-,10.0,-,-,0.3,2.1,1.5,6.0
9,1.5,10.0,0.5,0.1,4.0,52.0,-,-,-,0.2,5.5,4.0
10,5.0,13.0,0.5,21.0,-,8.5,-,-,-,-,12.1,18.0
11,3.5,35.5,-,-,-,120.5,-,T,7.5,-,0.4,13.5
12,0.5,18.8,-,-,-,190.0,-,1.1,-,-,0.7,2.0
13,2.5,-,8.5,2.2,0.5,64.0,-,18.5,0.3,-,29.3,2.5
14,2.5,46.6,0.5,8.0,-,30.5,-,-,30.9,-,43.5,1.0
15,-,12.5,-,-,-,82.5,-,-,2.0,-,14.3,1.0
16,-,0.6,-,-,-,-,1.7,10.5,-,-,18.6,-
17,-,-,-,-,-,-,10.9,5.2,-,1.0,35.3,-
18,2.0,-,-,-,-,-,14.2,30.5,-,1.5,4.1,-
19,1.0,27.8,-,-,-,-,17.0,2.1,20.0,13.0,1.2,1.0
20,2.5,12.7,-,-,-,1.0,1.0,-,11.5,1.0,-,8.0
21,13.0,-,-,22.9,13.0,5.0,37.5,-,82.0,1.5,32.3,-
22,-,0.5,-,-,-,1.5,298.5,-,-,26.5,0.4,0.5
23,-,4.0,-,13.2,-,-,69.5,-,-,3.0,-,-
24,-,0.5,-,-,-,-,1.0,-,-,3.0,-,1.5
25,T,-,T,-,1.0,0.5,T,-,-,11.5,0.9,20.5
26,3.5,1.0,30.5,-,-,-,5.0,14.5,-,0.5,90.4,25.0
27,8.4,10.5,-,-,5.0,1.5,-,1.1,-,15.0,5.2,14.0
28,1.0,-,1.5,1.0,15.5,7.3,0.2,0.5,-,-,1.0,7.6
29,0.5,,-,0.8,24.0,-,0.5,3.5,-,-,-,1.5
30,-,,-,-,17.0,0.7,-,1.5,16.0,-,-,-
31,-,,36.0,,4.0,,-,6.5,,-,,-
總和值,57.9,282.9,95.0,112.8,462.0,583.5,498.5,110.0,175.7,101.9,302.4,177.7
1,-,-,7.5,-,4.7,-,-,-,-,-,120.5,38.0
2,-,-,16.0,-,-,-,-,2.8,0.5,3.5,51.7,3.8
3,-,2.5,35.5,-,-,-,-,-,-,1.8,61.0,5.8
4,-,13.5,T,-,12.4,-,-,-,-,0.7,42.2,1.0
5,10.0,21.0,6.0,-,4.6,-,32.3,0.2,-,-,-,9.6
6,10.5,0.5,T,2.7,-,-,20.1,-,-,0.3,1.6,35.4
7,8.5,3.0,1.0,1.0,-,-,11.8,32.5,7.3,-,10.0,10.1
8,0.5,0.5,-,0.4,-,-,48.0,2.3,8.7,0.4,1.0,0.4
9,-,1.5,12.0,6.6,-,-,1.6,-,0.4,12.8,-,96.6
10,-,4.5,11.5,6.5,1.0,-,-,-,0.3,1.9,31.6,-
11,3.0,-,3.7,12.9,36.5,-,-,0.5,-,-,6.1,12.0
12,-,-,14.6,15.5,3.0,-,-,-,-,0.3,13.6,0.5
13,-,-,0.2,81.7,0.1,-,0.2,-,2.5,-,-,12.8
14,20.5,-,-,-,-,-,-,-,3.3,-,17.8,1.9
15,-,2.0,-,-,-,0.8,3.3,-,16.7,-,25.0,0.5
16,-,0.5,-,30.7,-,-,0.5,-,-,-,-,2.2
17,-,2.5,-,-,-,-,14.6,-,0.3,-,1.0,0.7
18,-,T,-,-,-,-,55.5,102.4,1.5,12.3,0.2,-
19,-,1.0,-,-,-,7.0,10.7,0.4,-,27.5,1.8,2.5
20,4.0,-,1.0,-,-,-,-,-,-,160.7,14.6,-
21,3.0,0.2,-,7.0,0.4,-,-,68.6,-,46.6,29.7,-
22,2.0,31.5,27.5,7.7,13.8,14.1,-,204.3,-,13.0,1.6,-
23,-,0.5,10.0,0.2,4.0,8.3,-,9.4,-,-,-,-
24,-,-,11.0,0.2,5.5,1.7,-,-,-,T,13.2,-
25,-,-,3.0,74.1,38.0,-,-,5.8,20.6,2.0,13.1,5.6
26,-,-,-,97.5,7.0,-,-,17.3,0.5,-,1.4,2.6
27,1.0,0.5,8.0,8.2,-,-,-,36.9,0.6,-,-,0.7
28,6.0,-,3.0,-,-,-,-,0.6,0.1,-,3.8,5.4
29,7.5,,2.5,-,-,-,-,20.0,2.5,0.5,0.5,1.4
30,7.5,,2.5,1.7,-,-,-,2.2,17.5,-,19.1,1.8
31,2.0,,-,,-,,-,-,,21.7,,0.5
總和值,86.0,85.7,176.5,354.6,131.0,31.9,198.6,506.2,83.3,306.0,482.1,251.8
1,18.8,21.0,-,2.0,1.5,-,2.9,4.4,0.2,19.9,-,4.8
2,45.0,8.6,-,-,145.5,-,-,-,38.4,0.4,3.8,3.0
3,38.5,3.2,2.0,1.2,-,-,-,-,12.6,-,0.6,11.2
4,2.8,30.9,1.6,-,-,-,2.8,0.1,81.0,-,-,28.0
5,3.8,13.9,138.3,-,-,12.5,14.4,-,59.2,12.6,-,-
6,54.6,2.6,-,0.2,-,-,5.5,-,50.0,74.4,-,-
7,14.3,-,-,-,-,15.4,68.4,-,26.1,50.9,19.2,0.7
8,59.1,-,-,-,-,14.4,50.2,2.9,-,73.4,9.5,-
9,-,-,-,-,-,5.5,7.1,-,-,13.4,6.3,6.7
10,50.0,0.9,8.1,0.9,0.5,69.5,20.9,1.5,-,21.0,0.5,-
11,1.4,41.5,6.9,21.6,36.4,11.2,2.5,13.7,1.4,57.0,-,-
12,43.6,-,9.2,-,33.2,0.4,2.0,90.3,-,-,0.2,-
13,41.4,-,9.6,2.4,-,3.5,-,67.2,36.0,3.0,-,4.6
14,0.5,4.0,19.7,3.0,3.6,-,-,6.9,60.0,7.1,-,7.9
15,13.5,4.2,1.8,0.3,-,-,-,38.5,7.0,-,-,9.1
16,8.8,15.1,-,-,35.2,-,-,8.7,1.0,14.9,-,5.0
17,7.8,5.8,0.4,-,6.4,-,-,-,0.2,22.8,-,-
18,1.0,-,-,-,-,2.9,-,29.0,2.3,0.4,-,1.3
19,12.9,-,0.3,-,-,9.4,7.1,-,139.5,5.2,31.1,3.2
20,7.1,2.0,5.7,-,-,0.3,-,-,-,7.5,31.9,17.7
21,3.2,-,0.2,-,5.3,0.6,-,-,71.0,-,8.8,7.2
22,3.9,1.1,4.2,-,8.4,-,-,-,39.5,-,49.4,1.6
23,29.3,8.4,3.7,-,8.1,-,-,0.1,24.5,-,59.7,2.4
24,11.4,0.8,4.8,0.4,-,-,-,-,-,31.3,3.8,-
25,4.2,7.6,34.6,-,-,-,2.5,-,-,1.2,12.8,-
26,2.0,24.1,14.2,-,-,-,0.5,-,-,-,10.2,-
27,2.2,0.3,0.6,-,0.8,-,3.7,-,46.7,-,116.0,6.2
28,0.3,13.2,-,6.4,-,0.8,-,22.5,3.8,-,14.0,5.5
29,2.8,0.8,-,0.5,-,-,-,9.5,-,1.8,1.8,3.5
30,21.2,,7.9,-,-,-,0.2,1.0,31.0,0.7,5.7,1.5
31,1.8,,22.5,,-,,46.2,0.5,,-,,-
總和值,507.2,210.0,296.3,38.9,284.9,146.4,236.9,296.8,731.4,418.9,385.3,131.1
1,-,5.4,0.9,18.2,-,-,0.5,3.0,110.9,11.9,-,7.7
2,-,-,1.3,-,-,-,-,-,35.7,-,38.8,1.7
3,-,6.4,1.8,-,-,0.6,-,-,0.9,2.6,0.2,-
4,-,-,1.0,0.2,-,0.5,28.2,-,-,0.9,2.0,1.7
5,0.8,-,-,0.1,-,-,4.5,-,3.0,-,1.3,0.6
6,-,6.0,2.3,-,-,-,10.3,-,15.4,0.8,12.6,2.3
7,-,-,8.5,-,55.0,-,26.1,-,0.5,10.0,16.7,32.8
8,4.1,-,3.1,-,-,-,0.2,-,-,31.3,8.4,22.7
9,1.2,3.9,5.4,-,-,-,1.4,0.2,-,29.2,11.4,8.8
10,-,3.7,-,-,-,-,1.3,-,-,13.4,18.0,0.1
11,-,4.9,0.2,4.9,-,0.4,5.0,-,-,18.5,1.0,0.9
12,0.6,4.3,-,12.8,-,-,-,-,0.5,3.7,8.8,14.4
13,6.8,11.6,-,21.0,-,-,-,-,-,139.4,1.1,17.0
14,12.7,-,6.2,1.0,-,-,-,-,0.9,67.0,-,64.3
15,8.8,2.0,1.4,0.4,-,0.4,14.4,-,-,26.0,2.8,1.0
16,3.5,-,-,-,20.4,-,21.3,-,0.3,14.0,17.9,0.4
17,7.9,-,-,-,24.3,-,9.8,43.6,38.6,-,-,2.2
18,-,0.4,1.3,-,8.6,5.4,-,-,9.9,4.6,1.4,12.9
19,6.7,17.1,-,-,35.0,-,-,-,167.9,25.0,0.8,7.4
20,23.3,28.9,-,20.4,0.7,-,-,-,34.6,-,4.3,3.4
21,1.2,8.1,13.3,-,0.6,-,2.3,31.8,1.5,-,0.4,-
22,10.4,4.2,1.3,21.3,-,-,28.5,90.9,9.5,-,1.6,-
23,0.7,2.4,77.5,9.0,-,-,5.9,54.0,-,0.5,3.1,-
24,20.8,5.8,0.7,-,51.5,-,-,59.8,0.5,-,15.8,11.4
25,25.1,4.9,1.8,13.3,24.2,-,-,26.5,-,-,27.7,0.2
26,5.0,4.6,17.1,-,42.0,-,0.5,6.7,-,-,0.3,1.7
27,7.6,3.5,0.6,21.6,6.5,-,-,9.7,-,-,-,0.6
28,0.4,1.2,-,5.8,1.8,-,26.3,-,-,-,-,-
29,0.8,,3.5,-,16.6,-,116.7,8.0,11.4,-,-,3.9
30,0.8,,-,-,30.7,6.6,4.9,15.5,22.7,0.3,10.4,-
31,12.2,,0.8,,-,,0.5,102.8,,-,,19.4
總和值,161.4,129.3,150.0,150.0,317.9,13.9,308.6,452.5,464.7,399.1,206.8,239.5
1,9.2,5.1,3.1,-,-,4.9,-,-,1.0,0.9,103.5,-
2,-,0.8,4.9,-,-,0.3,9.8,-,-,-,17.7,-
3,-,1.9,20.1,-,2.0,0.9,-,-,-,-,-,-
4,6.7,7.4,-,-,-,4.4,-,-,-,-,0.5,1.6
5,20.0,9.0,2.0,-,-,4.4,0.6,2.4,-,7.5,0.5,140.6
6,16.4,2.4,3.4,0.2,0.8,-,-,8.0,-,5.7,-,10.4
7,36.3,9.5,0.9,1.3,-,8.8,7.5,-,-,0.3,-,1.0
8,-,9.5,15.9,-,4.9,1.4,3.7,-,16.5,2.5,-,0.5
9,23.8,7.5,4.6,-,5.1,-,0.4,-,49.9,2.2,-,0.5
10,2.5,16.4,-,1.1,-,4.0,-,-,24.0,0.2,-,-
11,1.5,1.5,-,158.0,5.9,8.9,0.8,-,5.7,3.0,-,-
12,1.2,1.6,0.7,2.0,-,140.0,7.6,-,-,3.6,3.4,-
13,-,0.2,0.3,-,-,13.0,19.0,11.2,-,12.8,9.9,2.4
14,1.1,0.4,-,-,-,24.1,27.7,0.5,4.0,26.0,3.1,8.9
15,2.3,-,0.1,0.2,-,25.9,0.7,21.2,81.1,-,-,14.3
16,30.2,14.1,18.0,-,-,72.9,28.4,11.6,-,0.4,16.0,12.6
17,23.4,0.1,-,3.3,-,62.7,7.1,-,-,1.5,12.2,22.0
18,0.3,2.3,-,0.4,14.5,9.4,9.7,55.2,-,8.3,5.7,-
19,-,13.7,-,-,-,23.5,8.0,5.0,-,28.5,8.5,-
20,-,16.4,1.1,-,-,4.9,1.0,1.7,3.1,-,-,-
21,4.9,17.0,5.2,0.2,-,1.0,-,1.0,1.8,9.1,-,-
22,0.5,4.3,-,0.6,-,-,2.9,2.0,-,-,13.8,4.8
23,0.4,2.5,-,-,-,-,-,16.4,-,-,0.7,72.9
24,9.5,5.0,-,0.9,7.0,-,0.6,35.4,-,-,9.9,4.7
